id	filename	md5	size	state
c44a807f-892c-42fb-a552-23b45953c866	de958f1d-a3b0-4ff3-b42a-2ee437eb63af.wxs.aliquot_ensemble_masked.maf.gz	28a7d277eb41435d48f1748ed4959338	118207	released
68d2fba2-c453-42e9-88c5-84cd227bb505	c995b19e-eb59-40ad-ba1c-82db843d49d6.wxs.aliquot_ensemble_masked.maf.gz	10e890925c1c609bca37e2a6c59a39ff	21965	released
7f26bc4c-93d7-4791-ad2c-1421cd644abe	9327ff1c-59cd-4a63-ae49-d8bc3f0fe145.wxs.aliquot_ensemble_masked.maf.gz	fd4054c84365e721b399d37687c93178	97412	released
d45f092e-c53f-40e5-81b2-19b0e9ee159c	5639a813-e59d-4543-9424-cb36b1ce6a6e.wxs.aliquot_ensemble_masked.maf.gz	0637b0d3322882eaab2a87cf2f41c3c2	63613	released
f74f4ec6-abcd-4d39-8fc0-34628f410a73	1dfc6a5f-9a60-4e2e-8e9c-72ad9cc5fe4f.wxs.aliquot_ensemble_masked.maf.gz	01b8c21f3eb3043006676e18df12ecd2	17450	released
550d99fe-bfdf-421f-8149-de4f093a2b46	66c68f47-de10-4407-861e-d0d3f928f965.wxs.aliquot_ensemble_masked.maf.gz	5ccbf6e4d88d205f917a5e9dea494f11	9043	released
6fa69adf-a6fb-4984-8128-d04c079af6a8	82de97e3-8f4a-47e6-aa72-ee2e16940d4e.wxs.aliquot_ensemble_masked.maf.gz	4edf4a5a5649226bbe4c9dc8b402be2e	237916	released
373a31f6-4c4b-4ff0-b55e-527d78cf1885	db0d5c7d-f589-4237-9fc2-0066ab22ba79.wxs.aliquot_ensemble_masked.maf.gz	0d4f0985de39b1d8cc0acb5359d3ce5f	312419	released
891a784f-658d-4d99-872f-b6bdd50168be	9f254014-0d45-41fe-82f0-00210f770f8b.wxs.aliquot_ensemble_masked.maf.gz	3559a166ff3b32d037b512a564bfb8ea	89956	released
506dcede-056d-4b65-a9ba-9172493807a9	36c1267e-5bbd-4b40-87df-f1bbb7f6dd8d.wxs.aliquot_ensemble_masked.maf.gz	3542704061b7cb41fdd8ce62942a8382	124470	released
a9a9f533-ac0a-4c08-8322-266a4d884cec	e6de1eab-ca2b-484f-a79b-080bb4adaa61.wxs.aliquot_ensemble_masked.maf.gz	6e3dc09045359bf6a1a3ef53994e1c3d	39134	released
96251801-1290-4465-94b1-0d24841681a6	30ba9bfd-c34c-4058-955e-7176cd56bf76.wxs.aliquot_ensemble_masked.maf.gz	475edd80d949eb0d3ea575dc31b611dc	18229	released
98989161-4d01-4023-8b2f-9bc96b039071	06567117-c9eb-4551-80c8-71a30dc4193d.wxs.aliquot_ensemble_masked.maf.gz	2d6c88ced32a2f542045577011498d14	469521	released
7b68e3b5-3c0b-4c6c-b077-2185c253cc98	1ae85dc3-e37c-4f19-bdcb-600ad3c13507.wxs.aliquot_ensemble_masked.maf.gz	3a7efd4f5370397198bfcd76c75e1563	102378	released
1b7cf7ae-e746-4db2-b640-1ceaa6cda2de	fe4141b2-ce86-4708-a52e-e8a47ce2ae71.wxs.aliquot_ensemble_masked.maf.gz	db108d3e11b75afb5fdbc0f8bac58d9f	62931	released
176574dc-36a9-48b0-a192-b109dd0b46fb	25a296b9-b371-40cf-a256-7a623f089a4f.wxs.aliquot_ensemble_masked.maf.gz	ad44275d59a6be38ea18299f5005d095	182347	released
f23e90d9-8c7c-4f5e-9b05-9671869586e5	1a41330e-3769-4780-91e1-17a16429e3b8.wxs.aliquot_ensemble_masked.maf.gz	66a7ce775ba507e63cf3cd223caba444	71117	released
288cb794-b344-4112-8622-a647011d7f77	a1dbb803-5f5b-42b3-b60f-3762b8e4e793.wxs.aliquot_ensemble_masked.maf.gz	1f18003ab624b4c2805ecc132341275c	39838	released
d7c095e8-a65e-4c0c-8703-8f335978def2	52174a15-c841-493c-a8b1-15a6a8f0da24.wxs.aliquot_ensemble_masked.maf.gz	1717bdc88f77b6cf6979b6a577a7da99	261514	released
8c21bbd8-ea23-48d3-b75f-19ba66169dc7	10d97d8d-dbab-42dd-a3db-6f70a745df1a.wxs.aliquot_ensemble_masked.maf.gz	ac4133c173576370180236d7c35dd53e	55599	released
508c5123-7442-4eb8-a084-d845dde71203	d18ac17b-9280-4f47-a105-48f65abee00e.wxs.aliquot_ensemble_masked.maf.gz	07f37be0c07b1f991766c4021d7af265	292202	released
683a11d7-3c75-4f4c-8183-4372fea06ab3	6ac99f9f-af04-428a-ad5e-3c8c1fce1539.wxs.aliquot_ensemble_masked.maf.gz	f319fa39060459ddc7906be30641dae4	599613	released
8380506b-2e01-46f9-9bc3-940061a98473	b318a906-c707-40d4-9fa6-dc5e0db49deb.wxs.aliquot_ensemble_masked.maf.gz	bd7c0f9d533670fb788f7a1c616290a2	82961	released
15ea8df7-087a-4e78-84b6-22b3aec0e440	1b875569-40a8-48b1-8083-289689790d30.wxs.aliquot_ensemble_masked.maf.gz	e2b9a09d104901ab5f33065bbc5cc367	162620	released
68dee70f-4de6-4880-9011-8362f88b56e4	9f15cc8b-878e-4858-a9a1-7e2d5339661c.wxs.aliquot_ensemble_masked.maf.gz	6755be0481ce797e4e2cb780aad8800c	57729	released
62f83795-7d29-4ea0-b25d-bf396bdd1a6f	8a857111-2858-4bb3-a72d-3f1757289909.wxs.aliquot_ensemble_masked.maf.gz	db8fd6e12ce10f668910c1dec983efbe	59526	released
6f9d6fb6-f1bf-49db-8f8b-a9a2a12a4ced	70454e13-6665-446e-8358-9b45810092c4.wxs.aliquot_ensemble_masked.maf.gz	3f8bc082af8f03de47e442c7e3257865	9525	released
14155d37-424a-421c-90c1-248f9f97a31e	710177b9-f801-4d84-8576-1e4c2d5ed480.wxs.aliquot_ensemble_masked.maf.gz	af4753d3a71113a592a88e234feb58de	62387	released
082fe333-5914-490c-b411-b9df170d5f09	fca6b0cb-c82f-47ee-ae92-7666680c66c8.wxs.aliquot_ensemble_masked.maf.gz	283101a0f20531a86aadd8be49fd3944	954019	released
